Hindi,English,Mundari,Mundari_English_Pronounciation
यह नील गाय है।,This is a blue bull.,नेआ नील गाय मेना:।,neaa niila gaaya menaa:।
यह बारहसिंगा है।,This is a reindeer.,नेआ बारहसिंगा मेना:।,neaa baarahasingaa menaa:।
यह खरगोश है।,This is a rabbit.,नेआ खरगोश मेना:।,neaa kharagosha menaa:।
यह साही है।,This is a porcupine.,नेआ साही मेना:।,neaa saahii menaa:।
यह नेवला है।,This is a mongoose.,नेआ नेवला मेना:।,neaa newalaa menaa:।
यह मुर्गी है।,This is a hen.,नेआ मुर्गी मेना:।,neaa murgii menaa:।
यह बत्तख है।,This is a duck.,नेआ बत्तख मेना:।,neaa battakha menaa:।
यह कबूतर है।,This is a pigeon.,नेआ कबूतर मेना:।,neaa kabuutara menaa:।
यह मोर है।,This is a peacock.,नेआ मोर मेना:।,neaa mora menaa:।
यह तोता है।,This is a parrot.,नेया दोबाओःआ।,neyaa dobaaohaa।
यह कोयल है।,This is a cuckoo.,नेआ कोयल मेना:।,neaa koyala menaa:।
यह तीतर है।,This is a pheasant.,नेआ तीतर मेना:।,neaa tiitara menaa:।
यह बटेर है।,This is a quail.,नेआ बटेर मेना:।,neaa batera menaa:।
यह गौरैया है।,This is a sparrow.,नेआ गौरैया मेना:।,neaa gauraiyaa menaa:।
यह बगुला है।,This is a heron.,नेआ बगुला मेना:।,neaa bagulaa menaa:।
यह गिद्ध है।,This is a vulture.,नेआ गिद्ध मेना:।,neaa giddha menaa:।
यह चील है।,This is an eagle.,नेआ चील मेना:।,neaa chiila menaa:।
यह पड़की है।,This is my neighbour.,नेआ पड़ाव तना।,neaa padaaawa tanaa।
यह कौआ है।,This is a crow.,नेआ कौआ मेना:।,neaa kauaa menaa:।
यह हंस है।,This is a swan.,नेआ हंस मेना:।,neaa hansa menaa:।
यह आलू है।,This is potato.,नेआ आलू मेना:।,neaa aaluu menaa:।
यह टमाटर है।,This is a tomato.,नेआ टमाटर मेना:।,neaa tamaatara menaa:।
यह बैंगन है।,This is brinjal.,नेआ बैंगन मेना:।,neaa baingana menaa:।
यह भिंडी है।,This is ladyfinger.,नेआ भिंडी मेना:।,neaa bhindii menaa:।
यह मिर्च है।,it's chilly.,नेआ मिर्च मेना:।,neaa mircha menaa:।
यह करेला है।,This is bitter gourd.,नेआ करेला मेना:।,neaa karelaa menaa:।
यह बंदगोभी है।,This is cabbage.,नेआ बंदगोभी मेना:।,neaa bandagobhii menaa:।
यह फूलगोभी है।,This is cauliflower.,नेआ फूलगोभी मेना:।,neaa phuulagobhii menaa:।
यह कद्दू है।,This is a pumpkin.,नेआ कद्दू मेना:।,neaa kadduu menaa:।
यह प्याज है।,This is onion.,नेआ प्याज मेना:।,neaa pyaaja menaa:।
यह लहसुन है।,This is garlic.,नेआ लहसुन मेना:।,neaa lahasuna menaa:।
यह बोदी है।,This is Bodi.,नेआ बोदी मेना:।,neaa bodii menaa:।
यह तुरई है।,This is ridge gourd.,नेआ तुरई मेना:।,neaa turaii menaa:।
यह लौकी है।,This is gourd.,नेआ लौकी मेना:।,neaa laukii menaa:।
यह मूली है।,This is radish.,नेआ मूली मेना:।,neaa muulii menaa:।
यह आम है।,it's common.,नेआ आम मेना:।,neaa aama menaa:।
यह सेब है।,This is an apple.,नेआ सेब मेना:।,neaa seba menaa:।
यह केला है।,This is a banana.,नेआ केला मेना:।,neaa kelaa menaa:।
यह केंद है।,This is the center.,नेआ केंद मेना:।,neaa kenda menaa:।
यह शरीफा है।,This is Sharifa.,नेआ शरीफा मेना:।,neaa shariiphaa menaa:।
यह अमरूद है।,This is guava.,नेआ अमरूद मेना:।,neaa amaruuda menaa:।
यह जामुन है।,This is jamun.,नेआ जामुन मेना:।,neaa jaamuna menaa:।
यह अनार है।,This is pomegranate.,नेआ अनार मेना:।,neaa anaara menaa:।
यह कटहल है।,This is jackfruit.,नेआ कटहल मेना:।,neaa katahala menaa:।
यह संतरा है।,This is orange.,नेआ संतरा मेना:।,neaa santaraa menaa:।
यह नाशपाती है।,This is a pear.,नेआ नाशपाती मेना:।,neaa naashapaatii menaa:।
यह ताड़ है।,This is a palm.,नेआ ताड़ मेना:।,neaa taadaa menaa:।
यह इमली है।,This is tamarind.,नेआ इमली मेना:।,neaa imalii menaa:।
यह भेलवा है।,This is Bhelwa.,नेआ बुगिन मेनाः।,neaa bugina menaah।
यह बेर है।,This is a plum.,नेआ बेर मेना:।,neaa bera menaa:।
यह गुलाब है।,This is a rose.,नेआ गुलाब मेना:।,neaa gulaaba menaa:।
यह गुड़हल है।,This is hibiscus.,नेआ गुड़हल मेना:।,neaa gudaahala menaa:।
यह गेंडा है।,This is a unicorn.,नेआ गेंडा मेना:।,neaa gendaa menaa:।
यह पलास है।,This is Palas.,नेआ पलास मेना:।,neaa palaasa menaa:।
यह कमल है।,This is a lotus.,नेआ कमल मेना:।,neaa kamala menaa:।
यह सूर्यमुखी है।,This is a sunflower.,नेआ सूर्यमुखी मेना:।,neaa suuryamukhii menaa:।
यह सखुआ का फूल है।,This is Sakhua flower.,नेआ सखुआरा: फूल मेना:।,neaa sakhuaaraa: phuula menaa:।
यह चमेली है।,This is jasmine.,नेआ चमेली मेना:।,neaa chamelii menaa:।
यह गुलैंची है।,This is Gulanchi.,नेआ गुलैंची मेना:।,neaa gulainchii menaa:।
यह चम्पा है।,This is Champa.,नेआ चम्पा मेना:।,neaa champaa menaa:।
यह गुलमोहर है।,This is Gulmohar.,नेआ गुलमोहर मेना:।,neaa gulamohara menaa:।
यह कनेर है।,This is Kaner.,नेआ कनेर मेना:।,neaa kanera menaa:।
यह मछली है।,This is a fish.,नेआ मछली मेना:।,neaa machhalii menaa:।
यह मेढक है।,This is a frog.,नेआ मेढक मेना:।,neaa medhaka menaa:।
यह मगरमच्छ है।,This is a crocodile.,नेआ मगरमच्छ मेना:।,neaa magaramachchha menaa:।
यह सांप है।,This is a snake.,नेआ सांप मेना:।,neaa saanpa menaa:।
यह कछुआ है।,This is a tortoise.,नेआ कछुआ मेना:।,neaa kachhuaa menaa:।
यह केकड़ा है।,This is a crab.,नेआ केकड़ा मेना:।,neaa kekadaaa menaa:।
यह घोंघा है।,This is a snail.,नेआ घोंघा मेना:।,neaa ghonghaa menaa:।
यह शंबुक है।,This is a mussel.,नेआ शंबुक मेना:।,neaa shanbuka menaa:।
यह झींगा है।,This is shrimp.,नेआ झींगा मेना:।,neaa jhiingaa menaa:।
यह दरियाई घोड़ा है।,This is a hippopotamus.,नेआ दरियाई घोड़ा मेना:।,neaa dariyaaii ghodaaa menaa:।
यह सर्प मछली है।,This is a snake fish.,नेआ सर्प मछली मेना:।,neaa sarpa machhalii menaa:।
यह व्हेल है।,This is a whale.,नेआ व्हेल मेना:।,neaa whela menaa:।
यह रेशम कीट है।,This is a silkworm.,नेआ रेशम कीट मेना:।,neaa reshama kiita menaa:।
यह कनखजूरा है।,This is a centipede.,नेआ कनखजूरा मेना:।,neaa kanakhajuuraa menaa:।
यह केंचुआ है।,This is an earthworm.,नेआ केंचुआ मेना:।,neaa kenchuaa menaa:।
यह गोजर है।,This is a millipede.,नेआ गोजर मेना:।,neaa gojara menaa:।
यह भृंग है।,This is a beetle.,नेआ भृंग मेना:।,neaa bhringa menaa:।
यह व्याध पतंग है।,This is a dragonfly.,नेआ व्याध पतंग मेना:।,neaa wyaadha patanga menaa:।
यह तितली है।,This is a butterfly.,नेआ तितली मेना:।,neaa titalii menaa:।
यह टिड्डा है।,This is a grasshopper.,ने टिड्डा मेना:।,ne tiddaa menaa:।
यह मच्छर है।,This is a mosquito.,नेआ मच्छर मेना:।,neaa machchhara menaa:।
यह मकड़ी है।,This is a spider.,नेआ मकड़ी मेना:।,neaa makadaii menaa:।
यह चींटी है।,This is an ant.,नेआ चींटी मेना:।,neaa chiintii menaa:।
यह दीमक है।,This is termite.,नेआ दीमक मेना:।,neaa diimaka menaa:।
यह घर है।,this is home.,नेआ ओड़ा: मेना:।,neaa odaaa: menaa:।
यह मकान है।,This is a house.,नेआ मकान मेना:।,neaa makaana menaa:।
यह झोपड़ी है।,This is a hut.,नेआ झोपड़ी मेना:।,neaa jhopadaii menaa:।
यह गोहाल है।,This is a cowshed.,नेआ गोहाल मेना:।,neaa gohaala menaa:।
यह बाड़ा है।,This is a fence.,नेआ बाड़ा मेना:।,neaa baadaaa menaa:।
यह सूअर का बाड़ा है।,This is a pig pen.,नेआ सूअर रा: बाड़ा मेना:।,neaa suuara raa: baadaaa menaa:।
यह छेद है।,This is the hole.,नेआ छेद मेना:।,neaa chheda menaa:।
यह जंगल है।,This is a forest.,नेआ जंगल मेना:।,neaa jangala menaa:।
यह पेड़ है।,This is a tree.,नेआ पेड़ मेना:।,neaa pedaa menaa:।
यह मछली है।,This is a fish.,नेआ मछली मेना:।,neaa machhalii menaa:।
यह जंगली बैल है।,This is a wild bull.,नेआ जंगली बैल मेना:।,neaa jangalii baila menaa:।
यह ऊँट है।,This is a camel.,नेआ ऊंट मेना:।,neaa uunta menaa:।
यह बैलगाड़ी है।,This is a bullock cart.,नेआ बैलगाड़ी मेना:।,neaa bailagaadaii menaa:।
यह घोड़ागाड़ी है।,This is a horse carriage.,नेआ घोड़ागाड़ी मेना:।,neaa ghodaaagaadaii menaa:।
यह नाव है।,This is a boat.,नेआ नाव मेना:।,neaa naawa menaa:।
यह साइकिल है।,This is a bicycle.,नेआ साइकिल मेना:।,neaa saaikila menaa:।
यह मोटरसाइकिल है।,This is a motorcycle.,ने मोटरसाइकिल मेना:।,ne motarasaaikila menaa:।
यह बस है।,it just is.,नेआ बस मेना:।,neaa basa menaa:।
यह रेलगाड़ी है।,This is a train.,नेआ रेलगाड़ी मेना:।,neaa relagaadaii menaa:।
यह हवाई जहाज है।,It is an airplane.,नेआ हवाई जहाज मेना:।,neaa hawaaii jahaaja menaa:।
यह पानी जहाज है।,This is a water ship.,नेआ पानी जहाज मेना:।,neaa paanii jahaaja menaa:।
यह ट्रैक्टर है।,This is a tractor.,नेआ ट्रैक्टर मेना:।,neaa traiktara menaa:।
यह ट्रक है।,This is a truck.,नेआ ट्रक मेना:।,neaa traka menaa:।
यह टेम्पू है।,This is a tempo.,ने टेम्पू मेना:।,ne tempuu menaa:।
यह माँ है।,This is mother.,नेआ माजा मेनाः।,neaa maajaa menaah।
यह पिता है।,This is father.,नेआ पिता मेना:।,neaa pitaa menaa:।
यह दादा है।,This is grandfather.,नेआ दादा मेना:।,neaa daadaa menaa:।
यह दादी है।,This is grandma.,नेआ दादी मेना:।,neaa daadii menaa:।
यह भाई है।,This is brother.,नेआ भाई मेना:।,neaa bhaaii menaa:।
यह बहन है।,This is my sister.,नेआ बहन मेना:।,neaa bahana menaa:।
यह नाना है।,This is Nana.,नेआ नाना मेनाः।,neaa naanaa menaah।
यह नानी है।,This is granny.,नेआ नानी मेना:।,neaa naanii menaa:।
यह सिर है।,This is the head.,नेआ सिर मेना:।,neaa sira menaa:।
यह कान है।,This is the ear.,नेआ कान मेना:।,neaa kaana menaa:।
यह दाँत है।,This is a tooth.,नेआ दाँत मेना:।,neaa daanta menaa:।
यह गर्दन है।,This is the neck.,नेआ सिरमा मेना:।,neaa siramaa menaa:।
यह छाती है।,This is the chest.,नेआ छाती मेना:।,neaa chhaatii menaa:।
यह बांह है।,This is the arm.,नेआ बांह मेना:।,neaa baanha menaa:।
यह पैर की उंगली है।,This is the toe.,नेआ पैर रा: उंगली मेना:।,neaa paira raa: ungalii menaa:।
यह नाक है।,This is the nose.,नेआ नाक मेना:।,neaa naaka menaa:।
यह आँख है।,This is the eye.,नेआ आँख मेना:।,neaa aankha menaa:।
यह होंठ है।,This is the lips.,ने होंठ मेना:।,ne hontha menaa:।
यह कंधा है।,This is the shoulder.,नेआ कंधा मेना:।,neaa kandhaa menaa:।
यह कोहनी है।,This is the elbow.,नेआ कोहनी मेना:।,neaa kohanii menaa:।
यह हाथ है।,This is the hand.,नेआ हाथ मेना:।,neaa haatha menaa:।
यह पैर है।,This is the leg.,नेआ पैर मेना:।,neaa paira menaa:।
यह उंगली है।,This is the finger.,नेआ उंगली मेना:।,neaa ungalii menaa:।
यह पैर है।,This is the leg.,नेआ पैर मेना:।,neaa paira menaa:।
यह लाल है।,it is red.,नेआ लाल मेना:।,neaa laala menaa:।
यह नीला है।,it is blue.,नेआ नीला मेना:।,neaa niilaa menaa:।
यह पीला है।,it is yellow.,नेआ पीला मेना:।,neaa piilaa menaa:।
यह काला है।,It is black.,नेआ काला मेना:।,neaa kaalaa menaa:।
यह हरा है।,it's green.,नेआ हरा मेना:।,neaa haraa menaa:।
यह सफेद है।,It is white.,नेआ सफेद मेना:।,neaa sapheda menaa:।
आप क्या कर रहे हो?,What are you doing?,आम चानाः रिका दाड़िआ?,aama chaanaah rikaa daadaiaa?
मई घर जा रहा हु।,i am going home.,मई ओड़ो: सेनो:जाना।,maii odao: seno:jaanaa।
आप कहां जा रहे हैं?,Where are you going?,आम काजिओःताना?,aama kaajiohtaanaa?
मैं स्कूल जा रहा हूँ।,I am going to school.,आञ स्कूल तनाञ।,aanya skuula tanaanya।
क्या तुम मेरे साथ आ रहे हो?,Are you coming with me?,चिनअः आञ अइंग ते हिजुःजाना?,chinaah aanya ainga te hijuhjaanaa?
मेरा इंतजार करना।,Wait for me.,आञाः इंतजार रिकाञा।,aanyaah intajaara rikaanyaa।
मेरा जल्दी आना होगा।,I will come soon.,आञाः जल्दी हिजुःजाना।,aanyaah jaldii hijuhjaanaa।
एक पल के लिए यहाँ आओ.,Come here for a moment.,मिआद पल नातिन नेता: हिजु:।,miaada pala naatina netaa: hiju:।
कृपया बाहर प्रतीक्षा करें.,Please wait outside.,मेनदो बाहर प्रतीक्षा रिकाएआ।,menado baahara pratiikshaa rikaaeaa।
मुझे अब आना है।,I am coming now.,आञ ना: हिजु: तना।,aanya naa: hiju: tanaa।
आप कहाँ रहते हैं?,where do you live?,आम चानाः रे ताइना?,aama chaanaah re taainaa?
मैं स्कूल के पास रहता हूँ.,I live near the school.,आञ स्कूल रे ताइनाञ।,aanya skuula re taainaanya।
वो व्यक्ति कौन है?,who is that person?,इनिः होड़ोको चिलका मेनाः?,inih hodaoko chilakaa menaah?
यह मेरा दोस्त है।,This is my friend.,नेआ आञाः दोस्त मेना:।,neaa aanyaah dosta menaa:।
आपके पिता का नाम क्या है?,What is your father's name?,आमाः पिता राः नुतुम चानाः?,aamaah pitaa raah nutuma chaanaah?
आपकी माँ का नाम क्या है?,What is your mother's name?,आमाःअः नुतुम चानाः चिलका मेनाः?,aamaahah nutuma chaanaah chilakaa menaah?
आपकी आयु कितनी है?,how old are you?,आमाः आयु चिलका मेनाः?,aamaah aayu chilakaa menaah?
मैं पंद्रह साल का हूँ।,I am fifteen years old.,अइंग पंद्रह साल रेअः तइना।,ainga pandraha saala reah tainaa।
आपका घर कहां है?,Where is your home?,आमाः ओड़ाः चिलका मेनाः?,aamaah odaaah chilakaa menaah?
मेरा घर पास में ही है.,My house is nearby.,आञाः ओड़ाः रेगे मेना:।,aanyaah odaaah rege menaa:।
क्या आप व्यस्त हैं?,are you busy?,चिलका आम व्यस्त मेना:?,chilakaa aama wyasta menaa:?
अब मैं आजाद हूं।,Now I am free.,ना: आञ आजाद तइना।,naa: aanya aajaada tainaa।
मुझे एक मिनट दें।,Give me a minute.,आञ मिआद मिनट ओमकेदाञ।,aanya miaada minata omakedaanya।
बाद में वापस आना।,come back later.,तायोम रे ओड़ो: हिजु: जना।,taayoma re odao: hiju: janaa।
मैं बाद में फोन करूंगा।,I will call later.,आञ तायोम रे फोन रिकाञा।,aanya taayoma re phona rikaanyaa।
कृपया मुझे आज रात कॉल करें.,Please call me tonight.,मेनदो आञ तिसिङ रे कॉल केदाञ।,menado aanya tisinga re kaॉla kedaanya।
क्या तुमने खाया?,Did you eat?,चिमतुङ आञ काजिआञ?,chimatunga aanya kaajiaanya?
मैंने पहले ही खा लिया है।,I have already eaten.,अइंग सिदागे ओम रिकाकेदा।,ainga sidaage oma rikaakedaa।
मुझे भूख लगी है.,I am hungry.,अइंग बुगिन तइकेना।,ainga bugina taikenaa।
मुझे प्यास लगी है।,I am thirsty.,आञ प्यास लागातिङा।,aanya pyaasa laagaatingaa।
मैं कुछ पानी की जरूरत है।,I need some water.,आञ कुछ पानीरा: जरूड़ी मेना:।,aanya kuchha paaniiraa: jaruudaii menaa:।
कृपया मुझे पानी दीजिए.,Please give me water.,ओड़ोः अइंगअः आञ पानी केदाञ।,odaoh aingaah aanya paanii kedaanya।
पानी ठंडा है.,the water is cold.,पानी ठंडा मेना:,paanii thandaa menaa:
खाना गरम है.,The food is hot.,खाना गरम मेना:।,khaanaa garama menaa:।
यह खाना स्वादिष्ट है.,this food is delicious.,नेआ खाना स्वादिष्ट मेना:।,neaa khaanaa swaadishta menaa:।
मुझे यह खाना पसंद है.,I like this food.,आञ नेआ खाना पसंद मेनाञ।,aanya neaa khaanaa pasanda menaanya।
मुझे मसालेदार खाना पसंद नहीं है.,I don't like spicy food.,आञ मसालेदार खाना पसंद का ताइकेना।,aanya masaaledaara khaanaa pasanda kaa taaikenaa।
आज हम क्या खा रहे हैं?,What are we eating today?,तिसिङ आले चानाः काजिआ?,tisinga aale chaanaah kaajiaa?
रात के भोजन तैयार है।,dinner is ready.,रातरा: भोजन तैयार मेना:।,raataraa: bhojana taiyaara menaa:।
नाश्ता तैयार है.,Breakfast is ready.,नाश्ता तैयार मेना:।,naashtaa taiyaara menaa:।
आने और खाओ।,come and eat.,आपान ओड़ो: खाओआ।,aapaana odao: khaaoaa।
कुछ खाना ले लो.,Take some food.,कुछ खाना लेलकेदा।,kuchha khaanaa lelakedaa।
अब मेरा पेट भर गया है.,Now I am full.,ना: आञाः पेट भरव जना।,naa: aanyaah peta bharawa janaa।
मेरे लिए कुछ खाना बचाकर रखो.,Save some food for me.,अइंगअः नातिन कुड़ि बाइओःआ।,aingaah naatina kudai baaiohaa।
रसोई कहाँ है?,Where is the kitchen?,रसोई चिलका मेनाः?,rasoii chilakaa menaah?
दरवाज़ा खुला है.,The door is open.,दरवाजा खुला मेनाः।,darawaajaa khulaa menaah।
कृपया दरवाज़ा बंद कर दीजिये.,Please close the door.,मेनदो दरवाजा बंद केदाएः।,menado darawaajaa banda kedaaeh।
खिड़की खोलो।,open the window.,खिड़की खोलो।,khidaakii kholo।
कमरा साफ़ है.,The room is clean.,कमरा साफ़ मेना:।,kamaraa saaphaa menaa:।
फर्श गीला है।,the floor is wet.,फर्श गीला मेना:।,pharsha giilaa menaa:।
मेरा बैग लाओ.,Bring my bag.,आञाः बैग लाञा।,aanyaah baiga laanyaa।
मेरा बैग कहाँ है?,where is my bag?,आञाः बैग चिलका मेनाः?,aanyaah baiga chilakaa menaah?
मुझे अपना बैग नहीं मिल रहा है.,I can't find my bag.,आञ आपान बैग का नामजानाञ।,aanya aapaana baiga kaa naamajaanaanya।
मेरा फ़ोन यहाँ है.,My phone is here.,आञाः फ़ोन नेता: मेना:।,aanyaah phaona netaa: menaa:।
आपका फोन कहां है?,where is your phone?,आमाः फोन कजि मेनाः?,aamaah phona kaji menaah?
मेरी बैटरी कम है.,my battery is low.,आञाः बैटरी कम मेना:।,aanyaah baitarii kama menaa:।
कृपया मेरा फ़ोन चार्ज करें.,Please charge my phone.,मेनदो आञाः फ़ोन चार्ज रिकाएआ।,menado aanyaah phaona chaarja rikaaeaa।
प्रकाश चालू है.,The light is on.,प्रकाश चालू मेना:।,prakaasha chaaluu menaa:।
बत्ती बंद करें।,Turn off the lights.,बत्ती बंद ताइकेना।,battii banda taaikenaa।
पंखा चालू करो।,turn on the fan.,पंखा चालू केदा।,pankhaa chaaluu kedaa।
पंखा काम नहीं कर रहा है.,The fan is not working.,पंखा कामि का रिका तना।,pankhaa kaami kaa rikaa tanaa।
आज बहुत गर्मी है.,It is very hot today.,तिसिङ बेसे गर्मी मेना:।,tisinga bese garmii menaa:।
बाहर ठंड है.,It is cold outside.,बाहर ठंड मेना:,baahara thanda menaa:
मौसम अच्छा है.,The weather is good.,मौसम बुगिन मेना:।,mausama bugina menaa:।
आज हो सकती है बारिश।,It may rain today.,तिसिङ होबाओआ बारिश।,tisinga hobaaoaa baarisha।
छाता ले लो.,Take the umbrella.,छाता लेलोः।,chhaataa leloh।
आसमान में बादल छाए हुए हैं.,There are clouds in the sky.,आसमान रे बादल छाव जना।,aasamaana re baadala chhaawa janaa।
सूरज उज्ज्वल है.,The sun is bright.,सूरज उज्ज्वल मेना:,suuraja ujjwala menaa:
यह धुँधला रहा है।,it is getting dark.,नेआ धुधला तना।,neaa dhudhalaa tanaa।
सुबह हो चुकी है.,It is morning now.,तिसिङ होबाओःआ।,tisinga hobaaohaa।
ये वक़्त क्या है?,What time is it?,नेआ वक़्त चानाः मेनाः?,neaa wakata chaanaah menaah?
सात बजे हैं.,It's seven o'clock.,सात बजे मेनाः।,saata baje menaah।
मैं जल्दी जागा।,I woke up early.,आञ जल्दी जानाञ।,aanya jaldii jaanaanya।
मेरी आंख देर से खुली।,I woke up late.,अइंगअः उड़ुः ते हिजुःजाना।,aingaah udauh te hijuhjaanaa।
मैं सोने जा रहा हूँ.,I am going to sleep.,आञ सोबेन तनाञ।,aanya sobena tanaanya।
मुझे नींद आ रही है.,I am feeling sleepy.,आञ नींद हिजुःताना।,aanya niinda hijuhtaanaa।
अभी मत सोओ.,Don't sleep now.,अइंग मत सोमाए।,ainga mata somaae।
कल मुझे जगा देना.,Wake me up tomorrow.,तिसिङ आञ जगाओआञ।,tisinga aanya jagaaoaanya।
मुझे आराम करने की ज़रूरत है।,I need to rest.,आञ आराम राः जारुड़ु मेनाः।,aanya aaraama raah jaarudau menaah।
चलो बाहर चलते हैं.,let's go out.,चलो बाहर सेनोःताना।,chalo baahara senohtaanaa।
हमारे साथ आओ.,come with us.,आलेआः ते हिजुःजाना।,aaleaah te hijuhjaanaa।
सब कहाँ हैं?,Where is everyone?,सोबेन चिलका मेनाः?,sobena chilakaa menaah?
हर कोई बाहर है.,Everyone is out.,सोबेन जेतन बाहर मेना:।,sobena jetana baahara menaa:।
यहां कोई नहीं है.,There is no one here.,नेता: रे जेतन का मेनाः।,netaa: re jetana kaa menaah।
कोई तुम्हें बुला रहा है.,Someone is calling you.,जेतन अइंग बुला तना।,jetana ainga bulaa tanaa।
मुझे किसने बुलाया?,Who called me?,आञ चिलका बुलायाञ?,aanya chilakaa bulaayaanya?
मैंने आपकी कॉल मिस कर दी.,I missed your call.,आञ आमाः कॉल मिस केदाञ।,aanya aamaah kaॉla misa kedaanya।
कृपया मुझे संदेश भेजें.,Please send me a message.,मेनदो आञाः संदेश ओमकेदाञ।,menado aanyaah sandesha omakedaanya।
मैं इसे अभी भेजूंगा.,I will send it right away.,अइंग नेआ नअः तायोम केदा।,ainga neaa naah taayoma kedaa।
अपना फ़ोन जांचें.,Check your phone.,आपान फ़ोन जांच जना।,aapaana phaona jaancha janaa।
मैं तुम्हारा नाम भूल गया।,I forgot your name.,आञ अइंगअः नुतुम तइन केना।,aanya aingaah nutuma taina kenaa।
कृपया मुझे कल याद दिलायें।,Please remind me tomorrow.,मेनदो आञाः कल याद केदाञ।,menado aanyaah kala yaada kedaanya।
मुझे वह जगह याद है.,I remember that place.,अइंग इनि: जगह याद मेना:,ainga ini: jagaha yaada menaa:
क्या तुम मुझे याद करते हो?,Do you miss me?,चिलका आञ अइंग याद केदाञ?,chilakaa aanya ainga yaada kedaanya?
मैं इस व्यक्ति को जानता हूं.,I know this person.,आञ नेआ होड़ो को जानाओआ।,aanya neaa hodao ko jaanaaoaa।
मैंने उसे कभी नहीं देखा.,I have never seen him.,अइंग इनि: के जेतन का तइकेना,ainga ini: ke jetana kaa taikenaa
हम कल मिले थे.,We met yesterday.,आले कल मिआद ताइकेना।,aale kala miaada taaikenaa।
मैं आपसे कल मिलूंगा.,I will see you tomorrow.,आञ आमाः ते कल नामोगा।,aanya aamaah te kala naamogaa।
बाद में मिलते हैं।,see you later.,तायोम रे मिलाव तना।,taayoma re milaawa tanaa।
अपना ख्याल रखें।,Take care of yourself.,आपान ख्याल रिकाएआ।,aapaana khyaala rikaaeaa।
आपकी कक्षा कहाँ है?,where is your class?,आमाः कक्षा चिलका मेनाः?,aamaah kakshaa chilakaa menaah?
हमारी कक्षा ऊपर की मंजिल पर है.,Our class is on the top floor.,आले कक्षा तायोम रेआ मंजिल रे मेना:।,aale kakshaa taayoma reaa manjila re menaa:।
स्कूल का गेट खुला है.,The school gate is open.,स्कूल रा: गेट खुला तना:,skuula raa: geta khulaa tanaa:
स्कूल का गेट बंद है.,The school gate is closed.,स्कूल रा: गेट बंद मेना:,skuula raa: geta banda menaa:
मैं स्कूल जल्दी पहुंच गया.,I reached school early.,आञ स्कूल जल्दी सेनोःजानाञ।,aanya skuula jaldii senohjaanaanya।
मैं देर से स्कूल पहुंचा.,I reached school late.,आञ देर ते स्कूल सेनोःआञ।,aanya dera te skuula senohaanya।
मेरा दोस्त आज अनुपस्थित है.,My friend is absent today.,आञाः दोस्त तिसिङ अनुपस्थित मेना:।,aanyaah dosta tisinga anupasthita menaa:।
मेरा दोस्त मेरे पास बैठा है.,My friend is sitting next to me.,आञाः दोस्त अइंगअः तायोम रे बैठा तइना।,aanyaah dosta aingaah taayoma re baithaa tainaa।
हम साथ पढ़ते हैं।,we study together.,आले ते पढ़व तना।,aale te padhaawa tanaa।
